Interpolation Weights at U-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 
0000036  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   102    9551    9552  101.00000  101.66667  102.00000    55    9726   54.50000   54.50000   55.50000
0000037  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   103    9552    9553  102.00000  102.00000  103.00000    55    9727   54.50000   54.50000   55.50000
0000038  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   103    9552    9553  102.00000  102.33333  103.00000    55    9727   54.50000   54.50000   55.50000
0000039  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   103    9552    9553  102.00000  102.66667  103.00000    55    9727   54.50000   54.50000   55.50000
0000040  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   104    9553    9554  103.00000  103.00000  104.00000    55    9728   54.50000   54.50000   55.50000
0000041  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   104    9553    9554  103.00000  103.33333  104.00000    55    9728   54.50000   54.50000   55.50000
0000042  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   104    9553    9554  103.00000  103.66667  104.00000    55    9728   54.50000   54.50000   55.50000
0000043  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   105    9554    9555  104.00000  104.00000  105.00000    55    9729   54.50000   54.50000   55.50000
0000044  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   105    9554    9555  104.00000  104.33333  105.00000    55    9729   54.50000   54.50000   55.50000
0000045  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   105    9554    9555  104.00000  104.66667  105.00000    55    9729   54.50000   54.50000   55.50000
0000046  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   101    9550    9551  100.00000  100.00000  101.00000    55    9725   54.50000   54.83333   55.50000
0000047  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   101    9550    9551  100.00000  100.33333  101.00000    55    9725   54.50000   54.83333   55.50000
0000048  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   101    9550    9551  100.00000  100.66667  101.00000    55    9725   54.50000   54.83333   55.50000
0000049  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   102    9551    9552  101.00000  101.00000  102.00000    55    9726   54.50000   54.83333   55.50000
0000050  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   102    9551    9552  101.00000  101.33333  102.00000    55    9726   54.50000   54.83333   55.50000
0000051  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   102    9551    9552  101.00000  101.66667  102.00000    55    9726   54.50000   54.83333   55.50000
0000052  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   103    9552    9553  102.00000  102.00000  103.00000    55    9727   54.50000   54.83333   55.50000
0000053  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   103    9552    9553  102.00000  102.33333  103.00000    55    9727   54.50000   54.83333   55.50000
0000054  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   103    9552    9553  102.00000  102.66667  103.00000    55    9727   54.50000   54.83333   55.50000
0000055  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   104    9553    9554  103.00000  103.00000  104.00000    55    9728   54.50000   54.83333   55.50000
0000056  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   104    9553    9554  103.00000  103.33333  104.00000    55    9728   54.50000   54.83333   55.50000
0000057  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   104    9553    9554  103.00000  103.66667  104.00000    55    9728   54.50000   54.83333   55.50000
0000058  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   105    9554    9555  104.00000  104.00000  105.00000    55    9729   54.50000   54.83333   55.50000
0000059  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   105    9554    9555  104.00000  104.33333  105.00000    55    9729   54.50000   54.83333   55.50000
0000060  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   105    9554    9555  104.00000  104.66667  105.00000    55    9729   54.50000   54.83333   55.50000
0000061  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   101    9550    9551  100.00000  100.00000  101.00000    55    9725   54.50000   55.16667   55.50000
0000062  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   101    9550    9551  100.00000  100.33333  101.00000    55    9725   54.50000   55.16667   55.50000
0000063  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   101    9550    9551  100.00000  100.66667  101.00000    55    9725   54.50000   55.16667   55.50000
0000064  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   102    9551    9552  101.00000  101.00000  102.00000    55    9726   54.50000   55.16667   55.50000
0000065  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   105    9554    9555  104.00000  104.00000  105.00000    55    9729   54.50000   55.16667   55.50000
0000066  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   105    9554    9555  104.00000  104.33333  105.00000    55    9729   54.50000   55.16667   55.50000
0000067  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   105    9554    9555  104.00000  104.66667  105.00000    55    9729   54.50000   55.16667   55.50000
0000068  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   101    9725    9726  100.00000  100.00000  101.00000    56    9900   55.50000   55.50000   56.50000
0000069  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   101    9725    9726  100.00000  100.33333  101.00000    56    9900   55.50000   55.50000   56.50000
0000070  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   101    9725    9726  100.00000  100.66667  101.00000    56    9900   55.50000   55.50000   56.50000
0000071  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   102    9726    9727  101.00000  101.00000  102.00000    56    9901   55.50000   55.50000   56.50000
0000072  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   105    9729    9730  104.00000  104.00000  105.00000    56    9904   55.50000   55.50000   56.50000
0000073  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   105    9729    9730  104.00000  104.33333  105.00000    56    9904   55.50000   55.50000   56.50000
0000074  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   105    9729    9730  104.00000  104.66667  105.00000    56    9904   55.50000   55.50000   56.50000
0000075  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   101    9725    9726  100.00000  100.00000  101.00000    56    9900   55.50000   55.83333   56.50000
0000076  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   101    9725    9726  100.00000  100.33333  101.00000    56    9900   55.50000   55.83333   56.50000
0000077  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   101    9725    9726  100.00000  100.66667  101.00000    56    9900   55.50000   55.83333   56.50000
0000078  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   102    9726    9727  101.00000  101.00000  102.00000    56    9901   55.50000   55.83333   56.50000
0000079  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   105    9729    9730  104.00000  104.00000  105.00000    56    9904   55.50000   55.83333   56.50000
0000080  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   105    9729    9730  104.00000  104.33333  105.00000    56    9904   55.50000   55.83333   56.50000
0000081  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   105    9729    9730  104.00000  104.66667  105.00000    56    9904   55.50000   55.83333   56.50000
0000082  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   101    9725    9726  100.00000  100.00000  101.00000    56    9900   55.50000   56.16667   56.50000
0000083  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   101    9725    9726  100.00000  100.33333  101.00000    56    9900   55.50000   56.16667   56.50000
0000084  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   101    9725    9726  100.00000  100.66667  101.00000    56    9900   55.50000   56.16667   56.50000
0000085  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   102    9726    9727  101.00000  101.00000  102.00000    56    9901   55.50000   56.16667   56.50000
0000086  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   105    9729    9730  104.00000  104.00000  105.00000    56    9904   55.50000   56.16667   56.50000
0000087  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   105    9729    9730  104.00000  104.33333  105.00000    56    9904   55.50000   56.16667   56.50000
0000088  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   105    9729    9730  104.00000  104.66667  105.00000    56    9904   55.50000   56.16667   56.50000
0000089  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   101    9900    9901  100.00000  100.00000  101.00000    57   10075   56.50000   56.50000   57.50000
0000090  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   101    9900    9901  100.00000  100.33333  101.00000    57   10075   56.50000   56.50000   57.50000
0000091  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   101    9900    9901  100.00000  100.66667  101.00000    57   10075   56.50000   56.50000   57.50000
0000092  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   102    9901    9902  101.00000  101.00000  102.00000    57   10076   56.50000   56.50000   57.50000
0000093  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   105    9904    9905  104.00000  104.00000  105.00000    57   10079   56.50000   56.50000   57.50000
0000094  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   105    9904    9905  104.00000  104.33333  105.00000    57   10079   56.50000   56.50000   57.50000
0000095  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   105    9904    9905  104.00000  104.66667  105.00000    57   10079   56.50000   56.50000   57.50000
0000096  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   101    9900    9901  100.00000  100.00000  101.00000    57   10075   56.50000   56.83333   57.50000
0000097  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   101    9900    9901  100.00000  100.33333  101.00000    57   10075   56.50000   56.83333   57.50000
0000098  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   101    9900    9901  100.00000  100.66667  101.00000    57   10075   56.50000   56.83333   57.50000
0000099  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   102    9901    9902  101.00000  101.00000  102.00000    57   10076   56.50000   56.83333   57.50000
0000100  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   105    9904    9905  104.00000  104.00000  105.00000    57   10079   56.50000   56.83333   57.50000
0000101  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   105    9904    9905  104.00000  104.33333  105.00000    57   10079   56.50000   56.83333   57.50000
0000102  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   105    9904    9905  104.00000  104.66667  105.00000    57   10079   56.50000   56.83333   57.50000
0000103  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   101    9900    9901  100.00000  100.00000  101.00000    57   10075   56.50000   57.16667   57.50000
0000104  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   101    9900    9901  100.00000  100.33333  101.00000    57   10075   56.50000   57.16667   57.50000
0000105  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   101    9900    9901  100.00000  100.66667  101.00000    57   10075   56.50000   57.16667   57.50000
0000106  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   102    9901    9902  101.00000  101.00000  102.00000    57   10076   56.50000   57.16667   57.50000
0000107  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   102    9901    9902  101.00000  101.33333  102.00000    57   10076   56.50000   57.16667   57.50000
0000108  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   102    9901    9902  101.00000  101.66667  102.00000    57   10076   56.50000   57.16667   57.50000
0000109  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   103    9902    9903  102.00000  102.00000  103.00000    57   10077   56.50000   57.16667   57.50000
0000110  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   103    9902    9903  102.00000  102.33333  103.00000    57   10077   56.50000   57.16667   57.50000
0000111  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   103    9902    9903  102.00000  102.66667  103.00000    57   10077   56.50000   57.16667   57.50000
0000112  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   104    9903    9904  103.00000  103.00000  104.00000    57   10078   56.50000   57.16667   57.50000
0000113  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   104    9903    9904  103.00000  103.33333  104.00000    57   10078   56.50000   57.16667   57.50000
0000114  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   104    9903    9904  103.00000  103.66667  104.00000    57   10078   56.50000   57.16667   57.50000
0000115  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   105    9904    9905  104.00000  104.00000  105.00000    57   10079   56.50000   57.16667   57.50000
0000116  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   105    9904    9905  104.00000  104.33333  105.00000    57   10079   56.50000   57.16667   57.50000
0000117  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   105    9904    9905  104.00000  104.66667  105.00000    57   10079   56.50000   57.16667   57.50000
0000118  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   101   10075   10076  100.00000  100.00000  101.00000    58   10250   57.50000   57.50000   58.50000
0000119  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   101   10075   10076  100.00000  100.33333  101.00000    58   10250   57.50000   57.50000   58.50000
0000120  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   101   10075   10076  100.00000  100.66667  101.00000    58   10250   57.50000   57.50000   58.50000
0000121  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   102   10076   10077  101.00000  101.00000  102.00000    58   10251   57.50000   57.50000   58.50000
0000122  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   102   10076   10077  101.00000  101.33333  102.00000    58   10251   57.50000   57.50000   58.50000
0000123  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   102   10076   10077  101.00000  101.66667  102.00000    58   10251   57.50000   57.50000   58.50000
0000124  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   103   10077   10078  102.00000  102.00000  103.00000    58   10252   57.50000   57.50000   58.50000
0000125  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   103   10077   10078  102.00000  102.33333  103.00000    58   10252   57.50000   57.50000   58.50000
0000126  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   103   10077   10078  102.00000  102.66667  103.00000    58   10252   57.50000   57.50000   58.50000
0000127  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   104   10078   10079  103.00000  103.00000  104.00000    58   10253   57.50000   57.50000   58.50000
0000128  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   104   10078   10079  103.00000  103.33333  104.00000    58   10253   57.50000   57.50000   58.50000
0000129  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   104   10078   10079  103.00000  103.66667  104.00000    58   10253   57.50000   57.50000   58.50000
0000130  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   105   10079   10080  104.00000  104.00000  105.00000    58   10254   57.50000   57.50000   58.50000
0000131  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   105   10079   10080  104.00000  104.33333  105.00000    58   10254   57.50000   57.50000   58.50000
0000132  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   105   10079   10080  104.00000  104.66667  105.00000    58   10254   57.50000   57.50000   58.50000
0000133  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   101   10075   10076  100.00000  100.00000  101.00000    58   10250   57.50000   57.83333   58.50000
0000134  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   101   10075   10076  100.00000  100.33333  101.00000    58   10250   57.50000   57.83333   58.50000
0000135  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   101   10075   10076  100.00000  100.66667  101.00000    58   10250   57.50000   57.83333   58.50000
0000136  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   102   10076   10077  101.00000  101.00000  102.00000    58   10251   57.50000   57.83333   58.50000
0000137  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   102   10076   10077  101.00000  101.33333  102.00000    58   10251   57.50000   57.83333   58.50000
0000138  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   102   10076   10077  101.00000  101.66667  102.00000    58   10251   57.50000   57.83333   58.50000
0000139  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   103   10077   10078  102.00000  102.00000  103.00000    58   10252   57.50000   57.83333   58.50000
0000140  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   103   10077   10078  102.00000  102.33333  103.00000    58   10252   57.50000   57.83333   58.50000
0000141  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   103   10077   10078  102.00000  102.66667  103.00000    58   10252   57.50000   57.83333   58.50000
0000142  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   104   10078   10079  103.00000  103.00000  104.00000    58   10253   57.50000   57.83333   58.50000
0000143  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   104   10078   10079  103.00000  103.33333  104.00000    58   10253   57.50000   57.83333   58.50000
0000144  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   104   10078   10079  103.00000  103.66667  104.00000    58   10253   57.50000   57.83333   58.50000
0000145  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   105   10079   10080  104.00000  104.00000  105.00000    58   10254   57.50000   57.83333   58.50000
0000146  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   105   10079   10080  104.00000  104.33333  105.00000    58   10254   57.50000   57.83333   58.50000
0000147  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   105   10079   10080  104.00000  104.66667  105.00000    58   10254   57.50000   57.83333   58.50000
 

Contact Region = 02

  Weights are zero because they are not needed.

